scorer,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000
bodyparts,nose,nose,nose,head,head,head,neck,neck,neck,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
113,108.9885178,72.23842621,1,116.1559906,78.37969208,1,123.6244965,91.06707764,1,129.3003845,113.1134796,1,122.0584641,142.1043396,1
114,107.0101852,72.2754364,1,114.2282333,78.07546234,1,121.8977356,91.05039215,1,130.0602417,111.7523499,1,122.5840454,141.9371643,1
115,106.3095932,71.77833557,1,115.0965118,79.26618195,1,121.257988,92.01839447,1,128.8040619,112.0668945,1,123.8617325,142.1697998,1
116,105.1405792,71.20397186,1,113.6526489,78.11682129,1,120.8730698,91.58613586,1,128.6954041,111.8093262,1,123.7396011,142.0372162,1
117,103.7883148,70.52097321,1,112.98703,77.65708923,1,120.5112762,90.48010254,1,129.0242615,111.891304,1,123.7642288,142.3045349,1
118,102.6710663,70.0381546,1,112.6271057,77.18859863,1,120.0799561,90.69285583,1,129.4326782,111.8599472,1,124.5194702,141.9994812,1
119,102.481842,70.30405426,1,112.6017075,78.06560516,1,120.6489182,92.17847443,1,129.4080963,112.429718,1,124.5487518,142.0766296,1
120,102.5514679,70.34321594,1,112.7850342,79.2984848,1,120.4681931,92.71526337,1,129.4178467,113.0589294,1,124.602623,142.2970428,1
121,105.9076157,71.42658997,1,114.501236,80.52532959,1,121.1188583,94.14572144,1,129.0297241,114.0378036,1,124.8964539,142.291748,1
122,121.5705719,73.43668365,1,119.4676285,82.97844696,1,121.1974487,97.21785736,1,125.8015366,116.2587357,1,125.0260849,142.2339172,1
123,134.9092712,76.50143433,1,127.9784164,86.25617981,1,122.902153,98.50068665,1,125.0793076,118.2052841,1,123.5873718,142.1846619,1
124,143.1891174,80.89334106,1,134.8444519,87.6049118,1,126.6811295,99.53248596,1,123.2068787,117.7203751,1,122.0758972,141.7262726,1
125,151.6863098,86.5740509,1,139.9411011,89.72848511,1,130.5432892,99.43162537,1,122.8097534,117.5343018,1,120.8583374,141.8709717,1
126,160.47258,90.31476593,1,147.1974335,92.35979462,1,133.754837,98.42648315,1,123.4822159,118.1990128,1,119.9444351,141.8012085,1
127,167.5567322,92.81531525,1,154.6419678,94.01017761,1,140.0061646,97.99342346,1,126.2844925,114.23983,1,119.4831238,139.9429932,1
128,173.050293,93.5574646,1,159.9064484,93.48379517,1,146.2462616,96.40757751,1,127.807991,111.4529877,1,118.01931,136.9419556,1
129,177.6193542,93.18023682,1,165.7598572,92.73061371,1,150.7157745,94.87001801,1,130.3511963,106.7617569,1,117.6811066,132.4859467,1
130,183.7155151,93.06041718,1,171.3534393,92.61745453,1,158.0859375,94.66601563,1,133.1686096,102.4753265,1,117.6793289,125.2271347,1
131,188.8357697,93.42519379,1,175.8970184,91.56282806,1,162.8087769,92.66340637,1,138.2692871,97.9345932,1,118.1436005,116.8035431,1
132,191.9168396,91.12223816,1,179.9568787,90.86106873,1,166.7425079,92.37049103,1,143.0445862,94.46598053,1,120.6859741,110.6820374,1
133,195.8099213,90.59926605,1,183.5049744,91.09443665,1,169.5350952,92.48101044,1,147.6130371,94.63026428,1,122.6594238,107.1060944,1
134,201.6749878,90.64746094,1,188.1113129,91.63494873,1,174.0011139,92.50637817,1,152.5107727,94.08159637,1,124.9603424,103.3802795,1
135,205.417923,92.80718231,1,193.7705231,93.0697937,1,177.9865265,92.2858963,1,157.1467438,91.09426117,1,128.7899017,99.25047302,1
136,210.2429352,99.15141296,1,199.8826294,96.55060577,1,183.4494324,93.36386108,1,162.536972,90.00306702,1,133.3373871,95.31783295,1
137,213.4338226,106.9363785,1,203.6135559,99.99106598,1,188.7047882,95.54758453,1,167.4314728,88.18302155,1,139.953537,93.36837769,1
138,216.7801971,110.6972733,1,208.6637268,104.9576874,1,195.0520782,95.99224854,1,172.433136,87.31694794,1,144.1925201,90.23590851,1
139,221.4125671,113.2428665,1,212.3840332,106.8860779,1,199.1266785,97.90541077,1,176.9884338,87.3806076,1,147.5791321,88.80175781,1
140,229.0216217,116.8638153,1,219.2612305,109.6442871,1,204.6214905,100.6737137,1,180.0183716,89.6254425,1,150.2961426,87.80735016,1
141,232.6829681,118.1016006,1,221.4204254,111.8677063,1,208.0743103,102.9404755,1,184.8556824,91.55205536,1,155.5995178,89.76406097,1
142,236.8467407,121.367775,1,228.4671326,114.0312729,1,213.1740723,104.8787231,1,190.6057434,94.23816681,1,159.0920105,90.83312225,1
143,238.1200104,124.7241974,1,230.1665649,117.1652832,1,216.7120209,108.9126587,1,193.6737518,96.83818054,1,163.1067963,91.05809021,1
144,234.0995026,130.723587,1,227.4604645,122.3560562,1,216.4600525,109.7108536,1,195.6720428,97.76321411,1,166.6441498,93.5917511,1
145,232.2920532,136.9564209,1,227.134201,125.5901031,1,216.746933,112.5119324,1,197.857193,98.16292572,1,170.4397278,93.45133972,1
146,233.8034363,143.3114929,1,228.0223389,130.6717987,1,219.1439667,117.0461807,1,201.0459442,100.2557144,1,174.0024872,92.21199036,1
147,236.6793213,148.6487274,1,229.6051636,135.8559265,1,220.5373383,122.9806747,1,202.6687775,104.2019196,1,176.0494843,90.8897934,1
148,237.9092712,153.7991486,1,232.6956635,140.3112335,1,221.9023438,126.6092224,1,206.4834747,107.9567871,1,180.6148682,91.71582031,1
